sede_id,sede,pais,redes_sociales,iso_3,region_geografica
CVILL,Consulado  en  Villazon,ESTADO  PLURINACIONAL  DE  BOLIVIA,https://www.facebook.com/ArgEnVillazon  //  ,BOL,AMÉRICA  DEL  SUR
CYACU,Consulado  en  Yacuiba,ESTADO  PLURINACIONAL  DE  BOLIVIA,,BOL,AMÉRICA  DEL  SUR
DIGAC,Argentinos  en  el  exterior,REPÚBLICA  ARGENTINA,,ARG,AMÉRICA  DEL  SUR
EALEM,Embajada  en  Alemania,REPÚBLICA  FEDERAL  DE  ALEMANIA,https://www.facebook.com/ArgEnAlemania/  //  ,DEU,EUROPA  OCCIDENTAL
EANGO,Embajada  en  Angola,REPÚBLICA  DE  ANGOLA,https://www.facebook.com/ArgentinaEnAngola/  //  https://www.instagram.com/embargentinaenangola/  //  ,AGO,ÁFRICA  SUBSAHARIANA
EARAB,Embajada  en  Arabia  Saudita,REINO  DE  ARABIA  SAUDITA,https://www.facebook.com/argentinaenarabiasaudita/  //  https://twitter.com/ensaudita  //  https://www.instagram.com/arginsaudi/  //  ,SAU,ASIA
EARGE,Embajada  en  Argelia,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,https://twitter.com/ARGenArgelia  //  https://instagram.com/argenargelia  //  facebook.com/ArgentinaEnArgelia  //  ,DZA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
EARME,Embajada  en  Armenia,REPÚBLICA  DE  ARMENIA,https://www.instagram.com/arginarmenia/  //  https://www.facebook.com/ArgentinaEnArmenia  //  https://twitter.com/ARGinArmenia  //  ,ARM,ASIA
EASIR,Embajada  en  Siria,REPÚBLICA  ÁRABE  SIRIA,https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495  //  ,SYR,ASIA
EAUST,Embajada  en  Australia,AUSTRALIA,https://www.facebook.com/ArgentinaEnAustralia/  //  https://twitter.com/ARGinAustralia  //  ,AUS,OCEANÍA
EAZER,Embajada  en  Azerbaiyán,REPÚBLICA  DE  AZERBAIYÁN,https://www.facebook.com/EmbassyOfArgentina/  //  www.instagram.com/embargentinaaz  //  www.twitter.com/ARGEnAzer  //  ,AZE,ASIA
EBANG,Embajada  en  Bangladesh,REPÚBLICA  POPULAR  DE  BANGLADESH,,BGD,ASIA
EBARB,Embajada  en  Barbados,BARBADOS,https://www.facebook.com/ArgentinaEnBarbados/  //  ,BRB,AMÉRICA  CENTRAL  Y  CARIBE
EBELG,Embajada  en  Bélgica,Reino  de  Bélgica,https://www.facebook.com/ArgentinaEnBelgica/  //  https://www.instagram.com/argenbelgica/  //  ,BEL,EUROPA  OCCIDENTAL
EBOLV,Embajada  en  Bolivia,ESTADO  PLURINACIONAL  DE  BOLIVIA,@EmbaArgBolivia  //  @EmbajadaArgentinaBolivia  //  @embajada_argentina_en_bolivia  //  ,BOL,AMÉRICA  DEL  SUR
EBRAS,Embajada  en  Brasil,REPÚBLICA  FEDERATIVA  DEL  BRASIL,https://www.instagram.com/embaargenbrasil  //  https://twitter.com/ArgentinaEnBras  //  https://www.facebook.com/embargbrasil  //  ,BRA,AMÉRICA  DEL  SUR
EBULG,Embajada  en  Bulgaria,REPÚBLICA  DE  BULGARIA,https://www.facebook.com/ArgentinaEnBulgaria/  //  https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow  //  ,BGR,EUROPA  CENTRAL  Y  ORIENTAL
ECANA,Embajada  en  Canadá,CANADÁ,https://www.facebook.com/ArgentinaInCanada  //  https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A  //  https://twitter.com/ArginCanada  //  https://www.instagram.com/argentinaincanada/  //  https://www.linkedin.com/company/argentinaincanada  //  ,CAN,AMÉRICA  DEL  NORTE
ECEUR,Embajada  ante  la  Unión  Europea,Reino  de  Bélgica,https://www.facebook.com/ARGanteUE  //  https://www.linkedin.com/company/arganteue  //  https://twitter.com/ARGanteUE  //  https://www.youtube.com/@ARGanteUE  //  https://www.flickr.com/people/197084220@N02/  //  ,BEL,EUROPA  OCCIDENTAL
ECHES,Embajada  en  República  Checa,REPÚBLICA  CHECA,https://www.facebook.com/ArgentinaEnRepCheca/  //  https://www.instagram.com/argentinaenpraga  //  ,CZE,EUROPA  CENTRAL  Y  ORIENTAL
ECHIN,Embajada  en  China,REPÚBLICA  POPULAR  DE  CHINA,@ArgentinaEnChina  //  ,CHN,ASIA
ECOLO,Embajada  en  Colombia,REPÚBLICA  DE  COLOMBIA,@ArgColombia  //  https://www.facebook.com/ArgColombia/?ref=bookmarks  //  argentinaencolombia  //  ,COL,AMÉRICA  DEL  SUR
ECORE,Embajada  en  Corea  Del  Sur,REPÚBLICA  DE  COREA,https://www.facebook.com/ArgentinaEnCorea/  //  https://www.instagram.com/embajadaargentinaencorea1/?hl=es  //  ,KOR,ASIA
ECUBA,Embajada  en  Cuba,REPÚBLICA  DE  CUBA,https://www.facebook.com/ArgentinaEnCubaLaHabana/  //  ,CUB,AMÉRICA  CENTRAL  Y  CARIBE
EDINA,Embajada  en  Dinamarca,REINO  DE  DINAMARCA,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/  //  ,DNK,EUROPA  OCCIDENTAL
